# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:31.103703+00:00
date,fund_value_inr,benchmark_value_inr
2022-09-01,10000.00,
2022-09-02,10000.90,
2022-09-05,10005.29,
2022-09-07,10008.09,
2022-09-12,10014.48,
2022-09-13,10015.97,
2022-09-15,10008.09,
2022-09-19,10009.78,
2022-09-22,9998.10,
2022-09-26,9993.51,
2022-09-27,9991.61,
2022-09-28,9993.71,
2022-09-30,10007.39,
2022-10-04,10016.17,
2022-10-06,10015.87,
2022-10-11,10005.19,
2022-10-12,10005.59,
2022-10-14,10007.09,
2022-10-18,10021.27,
2022-10-21,10017.77,
2022-10-27,10038.14,
2022-10-28,10036.64,
2022-11-02,10045.93,
2022-11-04,10042.93,
2022-11-09,10057.21,
2022-11-11,10077.48,
2022-11-15,10090.16,
2022-11-17,10094.55,
2022-11-18,10094.35,
2022-11-23,10099.94,
2022-11-25,10106.63,
2022-11-28,10117.51,
2022-11-30,10117.81,
2022-12-05,10132.99,
2022-12-07,10126.70,
2022-12-09,10127.60,
2022-12-13,10140.08,
2022-12-14,10143.97,
2022-12-16,10143.77,
2022-12-21,10150.56,
2022-12-23,10149.06,
2022-12-27,10155.15,
2022-12-28,10155.65,
2022-12-30,10161.04,
2023-01-02,10164.84,
2023-01-05,10172.72,
2023-01-06,10169.93,
2023-01-10,10185.30,
2023-01-12,10195.69,
2023-01-17,10200.88,
2023-01-19,10210.66,
2023-01-20,10207.37,
2023-01-25,10212.96,
2023-01-30,10206.97,
2023-02-01,10224.54,
2023-02-03,10231.13,
2023-02-07,10235.12,
2023-02-08,10224.24,
2023-02-13,10228.73,
2023-02-14,10224.94,
2023-02-17,10227.94,
2023-02-20,10235.62,
2023-02-22,10231.53,
2023-02-27,10234.13,
2023-03-01,10238.42,
2023-03-03,10241.21,
2023-03-06,10247.30,
2023-03-09,10247.60,
2023-03-13,10273.96,
2023-03-16,10284.64,
2023-03-20,10298.12,
2023-03-21,10297.62,
2023-03-24,10310.50,
2023-03-28,10311.90,
2023-04-03,10335.46,
2023-04-06,10365.62,
2023-04-10,10373.80,
2023-04-13,10379.69,
2023-04-18,10390.87,
2023-04-20,10399.16,
2023-04-24,10414.34,
2023-04-26,10420.93,
2023-04-28,10422.82,
2023-05-03,10441.29,
2023-05-08,10444.59,
2023-05-09,10443.09,
2023-05-10,10443.79,
2023-05-15,10459.76,
2023-05-17,10471.05,
2023-05-19,10472.94,
